customer_id,ad,soyad,yas,cinsiyet,sehir,musteri_segmenti,kayit_tarihi,gercek_etiket
C001,Ahmet,Yilmaz,28,E,Antalya,Usta,2019-08-17,klima-ustasi
C002,Mehmet,Demir,35,E,Izmir,Usta,2020-05-16,klima-ustasi
C003,Ali,Celik,49,E,Kayseri,Usta,2019-07-29,klima-ustasi
C004,Huseyin,Arslan,46,E,Konya,Usta,2019-06-28,klima-ustasi
C005,Mustafa,Polat,28,E,Ankara,Usta,2019-03-07,klima-ustasi
C006,Ibrahim,Bulut,35,E,Kayseri,Usta,2020-03-23,klima-ustasi
C007,Murat,Yalcin,45,E,Bursa,Usta,2019-02-24,klima-ustasi
C008,Emre,Kaya,35,E,Eskisehir,Usta,2021-05-09,kombi-ustasi
C009,Burak,Sahin,53,E,Istanbul,Usta,2020-07-23,kombi-ustasi
C010,Caner,Dogan,50,E,Konya,Usta,2019-11-23,kombi-ustasi
C011,Kemal,Kilic,36,E,Izmir,Usta,2020-11-27,kombi-ustasi
C012,Levent,Aslan,52,E,Adana,Usta,2020-03-16,kombi-ustasi
C013,Okan,Aydin,30,E,Konya,Usta,2019-07-29,kombi-ustasi
C014,Ramazan,Koc,39,E,Adana,Usta,2019-07-18,kombi-ustasi
C015,Taner,Ozturk,53,E,Istanbul,Usta,2020-06-25,elektrikci
C016,Ugur,Simsek,45,E,Ankara,Usta,2021-07-29,elektrikci
C017,Volkan,Kurt,30,E,Kayseri,Usta,2021-02-14,elektrikci
C018,Yasin,Cetin,54,E,Trabzon,Usta,2020-08-23,elektrikci
C019,Zafer,Ozdemir,46,E,Bursa,Usta,2021-01-10,elektrikci
C020,Hasan,Yildiz,29,E,Trabzon,Usta,2019-05-23,elektrikci
C021,Fatih,Aktas,52,E,Antalya,Usta,2020-04-11,elektrikci
C022,Serkan,Cakar,55,E,Bursa,Usta,2019-06-13,boyaci
C023,Omer,Erdogan,40,E,Antalya,Usta,2019-07-26,boyaci
C024,Ercan,Gunes,48,E,Adana,Usta,2021-07-17,boyaci
C025,Nuri,Karaca,39,E,Adana,Usta,2019-11-30,boyaci
C026,Ilker,Ozkan,49,E,Antalya,Usta,2020-03-05,boyaci
C027,Mert,Tekin,47,E,Trabzon,Usta,2019-05-27,boyaci
C028,Samed,Ucar,45,E,Bursa,Usta,2019-12-17,boyaci
C029,Yusuf,Acar,42,E,Konya,Usta,2019-12-01,boyaci
C030,Haluk,Bayrak,48,E,Kayseri,Usta,2020-07-06,seramik-ustasi
C031,Ahmet,Yilmaz,49,E,Adana,Usta,2020-03-25,seramik-ustasi
C032,Mehmet,Demir,35,E,Istanbul,Usta,2019-04-25,seramik-ustasi
C033,Ali,Celik,40,E,Antalya,Usta,2020-10-08,seramik-ustasi
C034,Huseyin,Arslan,34,E,Mersin,Usta,2019-05-16,seramik-ustasi
C035,Mustafa,Polat,34,E,Trabzon,Usta,2020-10-06,seramik-ustasi
C036,Ibrahim,Bulut,40,E,Trabzon,Usta,2021-10-19,seramik-ustasi
C037,Murat,Yalcin,32,E,Antalya,Usta,2021-07-28,marangoz
C038,Emre,Kaya,35,E,Kayseri,Usta,2019-10-13,marangoz
C039,Burak,Sahin,51,E,Mersin,Usta,2020-06-22,marangoz
C040,Caner,Dogan,56,E,Mersin,Usta,2021-05-27,marangoz
C041,Kemal,Kilic,39,E,Bursa,Usta,2021-03-28,marangoz
C042,Levent,Aslan,44,E,Eskisehir,Usta,2019-10-11,marangoz
C043,Okan,Aydin,52,E,Istanbul,Usta,2019-07-06,marangoz
C044,Ayse,Koc,32,K,Trabzon,Bireysel,2019-08-13,bireysel
C045,Ramazan,Ozturk,53,E,Trabzon,Bireysel,2019-11-24,bireysel
C046,Taner,Simsek,47,E,Ankara,Bireysel,2021-05-14,bireysel
C047,Fatma,Kurt,40,K,Mersin,Bireysel,2021-02-27,bireysel
C048,Ugur,Cetin,44,E,Antalya,Bireysel,2021-08-16,bireysel
C049,Volkan,Ozdemir,49,E,Ankara,Bireysel,2019-01-24,bireysel
C050,Zeynep,Yildiz,52,K,Trabzon,Bireysel,2020-06-30,bireysel
